title, author, publisher, date_published, ratings, pages, isbn, language, genres
Reading Price Charts Bar by Bar,Al Brooks,John Wiley & Sons,Mar 23| 2009,4.3,432,9780470464274,English,Business & Economics / General
Services Marketing,Christopher Lovelock,Pearson Australia,May 20| 2015,4.1,529,9781486004768,English,Business & Economics / Marketing / General
Pride & Ownership: A Firefighter's Love of the Job,Rick Lasky,PennWell Books,2006,4.5,302,9781593700782,English,Business & Economics / Leadership
Social Media Marketing: Edition 3,Tracy L. Tuten,SAGE,Nov 20| 2017,4.7,448,9781526424549,English,Business & Economics / E-Commerce / Internet Marketing
Forex Patterns and Probabilities,Ed Ponsi,John Wiley & Sons,Dec 29| 2010,4.7,272,9781118044926,English,Business & Economics / Foreign Exchange
Digital Marketing: Strategic Planning & Integration,Annmarie Hanlon,SAGE,Dec 29| 2018,5.0,416,9781526454881,English,Business & Economics / E-Commerce / Internet Marketing
Qualitative Research from Start to Finish| Second Edition: Edition 2,Robert K. Yin,Guilford Publications,Aug 5| 2015,4.5,386,9781462521364,English,Business & Economics / Marketing / Research
Technical Analysis Explained| Fifth Edition: The Successful Investor's Guide to Spotting Investment Trends and Turning Points: Edition 5,Martin J. Pring,McGraw Hill Professional,Jan 13| 2014,4.0,832,9780071826556,English,Business & Economics / General
Netnography: Redefined| Edition 2,Robert V Kozinets,SAGE,Jun 18| 2015,4.0,320,9781473927025,English,Business & Economics / Marketing / Research
Essentials of Entrepreneurship Second Edition: Changing the World| One Idea at a Time,Robert A. Baron,Edward Elgar Publishing,Apr 27| 2018,0.0,384,9781788115896,English,Business & Economics / Entrepreneurship
Principles of Integrated Marketing Communications,Lawrence Ang,Cambridge University Press,Jan 16| 2014,0.0,400,9781107664081,English,Business & Economics / General
The New Wealth Management,Harold Evensky,John Wiley & Sons,Mar 29| 2011,4.0,480,9781118036914,English,Business & Economics / Finance / Wealth Management
Decision Modelling for Health Economic Evaluation,Andrew Briggs,OUP Oxford,Aug 18| 2006,3.7,256,9780191592973,English,Business & Economics / Economics / General
