Votes, Title, Cover_Image
62771,The Queen of Nothing by Holly Black,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553625031l/44428899.jpg
59681,The Ballad of Songbirds and Snakes by Suzanne Collins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570633247l/50794839._SX318_SY475_.jpg
42233,Chain of Gold by Cassandra Clare,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571379245l/17699853.jpg
28489,Children of Virtue and Vengeance by Tomi Adeyemi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591090724l/39122774._SY475_.jpg
27570,Cemetery Boys by Aiden Thomas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594059624l/52339313._SY475_.jpg
27263,Starsight by Brandon Sanderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556211418l/43979540.jpg
15179,Cinderella Is Dead by Kalynn  Bayron,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574698373l/51079282.jpg
14101,Legendborn by Tracy Deonn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598382979l/50892338.jpg
6107,Girl, Serpent, Thorn by Melissa Bashardoust,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596558892l/51182650._SY475_.jpg
5423,The Kingdom of Back by Marie Lu,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562771370l/45872054._SY475_.jpg
3461,These Violent Delights by Chloe Gong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580958058l/50892212.jpg
3161,Aurora Burning by Amie Kaufman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574498270l/40516960.jpg
2928,The Shadows Between Us by Tricia Levenseller,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558027905l/35702241.jpg
2249,The Extraordinaries by T.J. Klune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572524566l/52380340._SX318_SY475_.jpg
1726,Return of the Thief by Megan Whalen Turner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531833605l/11503920.jpg
