Votes, Title, Cover_Image
39335,Clap When You Land by Elizabeth Acevedo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570558443l/52516332._SX318_SY475_.jpg
36285,A Good Girl's Guide to Murder by Holly  Jackson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563445163l/45874065.jpg
34540,One of Us Is Next by Karen M. McManus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558455815l/44654627.jpg
22779,You Should See Me in a Crown by Leah  Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598021773l/55052604._SY475_.jpg
20639,The Inheritance Games by Jennifer Lynn Barnes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587396413l/52439531.jpg
18985,The Hand on the Wall by Maureen Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561155199l/45240918.jpg
18184,Tweet Cute by Emma Lord,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558456354l/45045129.jpg
15185,The Gravity of Us by Phil Stamper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557327577l/44281034.jpg
6837,Grown by Tiffany D. Jackson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579764388l/49397758.jpg
4547,The Henna Wars by Adiba Jaigirdar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573648375l/51175739._SX318_SY475_.jpg
3998,Only Mostly Devastated by Sophie Gonzales,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558716772l/45046743.jpg
3956,Punching the Air by Ibi Zoboi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584643837l/49151299.jpg
1251,Today Tonight Tomorrow by Rachel Lynn Solomon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582468069l/52766407.jpg
1007,Darius the Great Deserves Better by Adib Khorram,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576517046l/49025767.jpg
953,Furia by Yamile Saied Méndez,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591893767l/49150990._SY475_.jpg
