Votes, Title, Cover_Image
81284,A Promised Land by Barack Obama,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604286292l/55359022._SY475_.jpg
48921,Untamed by Glennon Doyle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585832694l/52129515.jpg
36162,All Boys Aren't Blue by George M. Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559859817l/44280883.jpg
21297,Too Much and Never Enough by Mary L. Trump,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594640055l/54081499._SY475_.jpg
20086,Open Book by Jessica Simpson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575562439l/41571753.jpg
12901,The Meaning of Mariah Carey by Mariah Carey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594304711l/53265647.jpg
8477,The Beauty in Breaking by Michele Harper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574743008l/50043108._SX318_SY475_.jpg
8465,Hollywood Park by Mikel Jollett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601570535l/49235526._SY475_.jpg
4168,Greenlights by Matthew McConaughey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604281659l/52838315._SX318_.jpg
3309,Notes on a Silencing by Lacy Crawford,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573675048l/48717403.jpg
3237,The Rural Diaries by Hilarie Burton Morgan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581695312l/51082172.jpg
3216,Nobody Will Tell You This But Me by Bess Kalb,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567522860l/51231889._SX318_SY475_.jpg
2922,I Have Something to Tell You by Chasten Glezman Buttigieg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593356102l/53358818.jpg
2434,The Adventurer's Son by Roman Dial,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571076286l/46041442.jpg
2250,Conditional Citizens by Laila Lalami,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574335667l/52366322.jpg
