Votes, Title, Cover_Image
49341,The Tower of Nero by Rick Riordan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581726516l/48717744.jpg
23486,The One and Only Bob by Katherine Applegate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572990860l/48613333.jpg
15347,Before the Ever After by Jacqueline Woodson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589833024l/51988656.jpg
13186,Hollowpox by Jessica  Townsend,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577773211l/46196106.jpg
11673,From the Desk of Zoe Washington by Janae Marks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560957404l/45169415.jpg
11151,We Dream of Space by Erin Entrada Kelly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579013935l/52515165._SX318_SY475_.jpg
10049,Ghost Squad by Claribel A. Ortega,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555437499l/36601937._SY475_.jpg
9520,Ali Cross by James Patterson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558455888l/44286536.jpg
4351,Aru Shah and the Tree of Wishes by Roshani Chokshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567185481l/51300436._SX318_SY475_.jpg
3900,Clean Getaway by Nic Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569285842l/49917829._SX318_SY475_.jpg
3666,Here in the Real World by Sara Pennypacker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572155035l/45485735.jpg
3599,A Tale of Witchcraft... by Chris Colfer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598244948l/50998132.jpg
2108,Unlocked by Shannon Messenger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594228085l/51323393.jpg
1612,Lizzy Albright and the Attic Window by Ricky Tims,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598387645l/55124276._SY475_.jpg
760,Fighting Words by Kimberly Brubaker Bradley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574716879l/48945757.jpg
