Votes, Title, Cover_Image
27866,Modern Comfort Food by Ina Garten,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590794868l/51154724.jpg
25901,Gordon Ramsay Quick and Delicious by Gordon Ramsay,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583201594l/50998947.jpg
21885,Magnolia Table by Joanna Gaines,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585631208l/53064545._SX318_SY475_.jpg
18162,Eat a Peach by David Chang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582084217l/51700803.jpg
17153,Outlander Kitchen by Theresa Carle-Sanders,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568949597l/51620141._SX318_.jpg
11675,Evolving Vegan by Mena Massoud,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1599399846l/51601913._SX318_.jpg
11321,Frontier Follies by Ree Drummond,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597694062l/44781454.jpg
9514,Vegetable Kingdom by Bryant Terry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574014883l/45895070._SX318_.jpg
3120,Wine Girl by Victoria James,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567978224l/52843246._SX318_SY475_.jpg
2873,The Honeysuckle Cookbook by Dzung Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585191305l/50165539._SX318_.jpg
2817,True Comfort by Kristin Cavallari,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589825993l/50437277._SX318_.jpg
2716,Dirt by Bill Buford,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585191036l/48983247.jpg
2114,Dessert Person by Claire Saffitz,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588215952l/52028349.jpg
1104,Oh She Glows for Dinner by Angela Liddon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596428732l/53370248._SX318_.jpg
961,Nourish Me Home by Cortney Burns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569298103l/51644251._SX318_SY475_.jpg
