Votes, Title, Cover_Image
52450,Such a Fun Age by Kiley Reid,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557181911l/43923951._SY475_.jpg
51018,Cemetery Boys by Aiden Thomas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594059624l/52339313._SY475_.jpg
37502,My Dark Vanessa by Kate Elizabeth Russell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583447793l/44890081._SY475_.jpg
25143,The Girl with the Louding Voice by Abi Daré,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581128232l/50214741.jpg
23286,The Year of the Witching by Alexis Henderson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576699031l/49789629.jpg
22777,One to Watch by Kate Stayman-London,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584401917l/53103895.jpg
10900,The Bone Shard Daughter by Andrea Stewart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586229099l/50706646.jpg
10055,Valentine by Elizabeth Wetmore,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585661134l/52377380._SY475_.jpg
4945,A Burning by Megha Majumdar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576019976l/51792100.jpg
3571,Real Life by Brandon  Taylor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563301717l/46263943.jpg
3109,You Deserve Each Other by Sarah Hogle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578144091l/49758584._SY475_.jpg
2964,Winter Counts by David Heska Wanbli Weiden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592246046l/48678117.jpg
2518,Axiom's End by Lindsay  Ellis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579072263l/51171377.jpg
2100,Raybearer by Jordan Ifueko,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567330635l/50158128._SX318_SY475_.jpg
1161,Shuggie Bain by Douglas   Stuart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602094778l/52741293._SY475_.jpg
