Votes, Title, Cover_Image
95084,House of Earth and Blood by Sarah J. Maas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559142847l/44778083.jpg
93262,The Invisible Life of Addie LaRue by V.E. Schwab,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584633432l/50623864.jpg
45778,The House in the Cerulean Sea by T.J. Klune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569514383l/45046567.jpg
29105,The City We Became by N.K. Jemisin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567990738l/43521693.jpg
22697,The Once and Future Witches by Alix E. Harrow,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598246043l/51987993.jpg
19179,Piranesi by Susanna Clarke,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609095173l/50202953._SY475_.jpg
15292,The Empire of Gold by S.A. Chakraborty,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572578104l/52166786.jpg
15245,Peace Talks by Jim Butcher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579336858l/49381341.jpg
5619,The Burning God by R.F. Kuang,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585284825l/51475322.jpg
4283,Smoke Bitten by Patricia Briggs,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563305478l/44571368.jpg
3782,The Girl and the Stars by Mark  Lawrence,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588007578l/51277288._SY475_.jpg
3020,The Empress of Salt and Fortune by Nghi Vo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604973382l/49882356._SY475_.jpg
2271,Wintersteel by Will Wight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601794336l/55551726._SY475_.jpg
2158,The Bone Shard Daughter by Andrea Stewart,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586229099l/50706646.jpg
1671,The Trouble With Peace by Joe Abercrombie,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591713497l/50358101.jpg
