Votes, Title, Cover_Image
72828,The Midnight Library by Matt Haig,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602190253l/52578297.jpg
72823,Anxious People by Fredrik Backman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597575031l/49127718.jpg
67226,American Dirt by Jeanine Cummins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579793054l/50634450._SY475_.jpg
48664,My Dark Vanessa by Kate Elizabeth Russell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583447793l/44890081._SY475_.jpg
35614,The Glass Hotel by Emily St. John Mandel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564199892l/45754981.jpg
31699,Transcendent Kingdom by Yaa Gyasi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571925550l/48570454.jpg
25384,Dear Edward by Ann Napolitano,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573865448l/45294613.jpg
22008,Big Summer by Jennifer Weiner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585287049l/52755548.jpg
7318,Writers & Lovers by Lily King,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580227762l/52715989._SX318_SY475_.jpg
4840,A Burning by Megha Majumdar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576019976l/51792100.jpg
4109,Luster by Raven Leilani,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568668703l/51541496._SX318_SY475_.jpg
2680,In an Instant by Suzanne Redfearn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563893175l/44281326.jpg
1995,The Death of Vivek Oji by Akwaeke Emezi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579616999l/48595550._SY475_.jpg
1731,Homeland Elegies by Ayad Akhtar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584627596l/50358133.jpg
1508,Real Life by Brandon  Taylor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563301717l/46263943.jpg
