Votes, Title, Cover_Image
102626,The Vanishing Half by Brit Bennett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577090827l/51791252._SX318_SY475_.jpg
34021,The Jane Austen Society by Natalie Jenner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568730506l/43557477.jpg
29643,The Book of Longings by Sue Monk Kidd,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570801291l/52698452._SX318_SY475_.jpg
28222,The Henna Artist by Alka Joshi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588690086l/50607466._SX318_.jpg
26386,The Evening and the Morning by Ken Follett,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585140756l/49239093.jpg
22418,A Long Petal of the Sea by Isabel Allende,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600456282l/45897568._SY475_.jpg
20094,The Book of Lost Friends by Lisa Wingate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580790967l/53025903._SX318_SY475_.jpg
18928,The Pull of the Stars by Emma Donoghue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591030878l/52722079.jpg
9351,Hamnet by Maggie O'Farrell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589286085l/48677123.jpg
7196,Where the Lost Wander by Amy Harmon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570773240l/50001299._SX318_SY475_.jpg
6248,Deacon King Kong by James   McBride,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570443527l/51045613.jpg
5138,The Night Watchman by Louise Erdrich,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560805539l/46206688.jpg
1516,Utopia Avenue by David Mitchell,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591339054l/52597312._SY475_.jpg
1351,Betty by Tiffany   McDaniel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572992238l/48564330.jpg
1193,The Paper Daughters of Chinatown by Heather B. Moore,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582080506l/51253514.jpg
