Votes, Title, Cover_Image
45806,Caste by Isabel Wilkerson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597267568l/51152447._SY475_.jpg
40761,The Splendid and the Vile by Erik Larson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567638129l/51227088._SX318_SY475_.jpg
25786,A Black Women's History of the United States by Daina Ramey Berry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575339748l/45153160.jpg
11762,999 by Heather Dune Macadam,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567776673l/44909230._SX318_.jpg
10308,You Never Forget Your First by Alexis Coe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569627765l/51239966._SX318_SY475_.jpg
9114,Fight of the Century by Michael Chabon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577621729l/50092714.jpg
8921,His Truth Is Marching on by Jon Meacham,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591628149l/53431510.jpg
8519,The Lincoln Conspiracy by Brad Meltzer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585147221l/52863345._SX318_SY475_.jpg
3402,Agent Sonya by Ben Macintyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585320220l/52578861.jpg
2674,Dead Famous by Greg  Jenner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597600765l/48868613.jpg
2516,Overground Railroad by Candacy A. Taylor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565443204l/43908981.jpg
1944,Begin Again by Eddie S. Glaude Jr.,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565180308l/45754985.jpg
1648,Wandering in Strange Lands by Morgan Jerkins,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578436471l/51934207._SX318_SY475_.jpg
1198,Killing Crazy Horse by Bill O'Reilly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576637384l/48925415.jpg
972,Humankind by Rutger Bregman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577251406l/52879286.jpg
