Votes, Title, Cover_Image
85626,Mexican Gothic by Silvia Moreno-Garcia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607462569l/53152636._SY475_.jpg
47552,If It Bleeds by Stephen King,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598366651l/48838041._SY475_.jpg
41455,The Southern Book Club's Guide to Slaying Vampires by Grady Hendrix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573175023l/44077284.jpg
17021,The Only Good Indians by Stephen Graham Jones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601545259l/52180399._SY475_.jpg
10152,Devolution by Max Brooks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566875204l/52454426._SX318_SY475_.jpg
8801,The Hollow Places by T. Kingfisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600022295l/50892288.jpg
7216,Malorie by Josh Malerman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585099052l/44564972.jpg
6275,Tender Is the Flesh by Agustina Bazterrica,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594563107l/49090884.jpg
2429,The Hollow Ones by Guillermo del Toro,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571698404l/52594581.jpg
2215,Lakewood by Megan Giddings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579612241l/51166519._SX318_SY475_.jpg
2096,Survivor Song by Paul Tremblay,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575564155l/52581895.jpg
1305,Ring Shout by P. Djèlí Clark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580134382l/49247242.jpg
672,The Ghost Tree by Christina Henry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586544909l/50607901.jpg
427,Secret Santa by Andrew Shaffer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598985296l/53869658.jpg
383,World Departed by Sarah Lyons Fleming,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584923508l/52622380._SY475_.jpg
