Votes, Title, Cover_Image
45156,Strange Planet by Nathan W. Pyle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556745170l/44890112._SX318_.jpg
32461,Wow, No Thank You. by Samantha Irby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566239899l/49960031.jpg
27674,Solutions and Other Problems by Allie Brosh,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593942262l/51323365.jpg
20099,The Office by Andy Greene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585413349l/51700301._SY475_.jpg
19683,Trixie and Katya's Guide to Modern Womanhood by Trixie Mattel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572499535l/52180973.jpg
16176,F*ck Your Diet by Chloé Hilliard,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577016020l/43822700.jpg
7386,The New One by Mike Birbiglia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571127808l/52894214._SX318_SY475_.jpg
6931,Becoming Duchess Goldblatt by Duchess Goldblatt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568057059l/50130587.jpg
3131,Shakespeare for Squirrels by Christopher Moore,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573836756l/52216445._SX318_SY475_.jpg
2222,Overstated by Colin Quinn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595209681l/51952357.jpg
1936,Shit, Actually by Lindy West,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610496421l/50998099._SY475_.jpg
1816,Squeeze Me by Carl Hiaasen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586833725l/50699224.jpg
1419,God-Level Knowledge Darts by Desus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580145621l/48995022.jpg
1387,This Is Major by Shayla Lawson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577249471l/52090855.jpg
1131,Born to Be Public by Greg Mania,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582651285l/51736714.jpg
