Votes, Title, Cover_Image
73605,The Guest List by Lucy Foley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597345150l/54911607._SY475_.jpg
35356,Home Before Dark by Riley Sager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571683410l/50833559._SX318_SY475_.jpg
35340,The Sun Down Motel by Simone St. James,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570443079l/45885644.jpg
31924,The Wives by Tarryn Fisher,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555273902l/44510385.jpg
25428,The Searcher by Tana French,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588572246l/52661162.jpg
23717,The Boy from the Woods by Harlan Coben,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575400945l/51204046._SX318_SY475_.jpg
22852,The Devil and the Dark Water by Stuart Turton,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585584090l/51854625.jpg
21436,Long Bright River by Liz Moore,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555616163l/43834909.jpg
7734,All the Devils Are Here by Louise Penny,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582597966l/49127539.jpg
6375,Troubled Blood by Robert Galbraith,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594301752l/51807232._SY475_.jpg
5222,Unspeakable Things by Jess Lourey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562829246l/44303982.jpg
3925,Winter Counts by David Heska Wanbli Weiden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592246046l/48678117.jpg
3186,The Night Swim by Megan Goldin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569898236l/51169341.jpg
2387,And Now She's Gone by Rachel Howzell Hall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585673162l/49247317.jpg
1622,Confessions on the 7 by Lisa Unger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583203799l/49374505.jpg
