Votes, Title, Cover_Image
43685,Stamped by Jason Reynolds,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568739320l/52220686._SX318_SY475_.jpg
37418,Hood Feminism by Mikki Kendall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571889198l/49614207._SX318_SY475_.jpg
25127,Clanlands by Sam Heughan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1604612933l/55851555._SY475_.jpg
23675,Me and White Supremacy by Layla F. Saad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576000059l/46002342.jpg
23277,Hidden Valley Road by Robert  Kolker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569289026l/50088631._SX318_SY475_.jpg
17906,Don't Overthink It by Anne Bogel,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585640478l/52686687.jpg
15634,Buy Yourself the F*cking Lilies by Tara Schuster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568743976l/46064076._SY475_.jpg
11394,Why We Can't Sleep by Ada Calhoun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570112734l/51285456._SX318_SY475_.jpg
4918,You're Not Listening by Kate   Murphy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568313665l/45892276.jpg
3964,Here for It; Or, How to Save Your Soul in America by R. Eric Thomas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575341409l/45915136.jpg
3605,Beyond the Gender Binary by Alok Vaid-Menon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572445379l/51794301._SX318_SY475_.jpg
3526,Minor Feelings by Cathy Park Hong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580788273l/52845775._SX318_SY475_.jpg
3411,Blackout by Candace Owens,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564946388l/50945960.jpg
3029,Tightrope by Nicholas D. Kristof,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565398610l/45553638.jpg
2501,Trust by Pete Buttigieg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594161214l/54358975.jpg
