Votes, Title, Cover_Image
22811,Dearly by Margaret Atwood,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580793100l/50706476.jpg
20696,Violet Bent Backwards Over the Grass by Lana Del Rey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594563349l/54019416.jpg
17975,Break Your Glass Slippers by Amanda Lovelace,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573919105l/52945057._SX318_SY475_.jpg
15932,Home Body by Rupi Kaur,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600615839l/52854164.jpg
11743,On the Horizon by Lois Lowry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564709502l/51307102.jpg
10699,The Girl and the Goddess by Nikita Gill,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595209290l/49814602.jpg
9773,All Along You Were Blooming by Morgan Harper Nichols,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557789033l/44441884.jpg
8892,What Kind of Woman by Kate Baer,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585630975l/50997643.jpg
2721,Postcolonial Love Poem by Natalie Díaz,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566106111l/44094069.jpg
2536,Cast Away by Naomi Shihab Nye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572993490l/45730512.jpg
2079,Finna by Nate Marshall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586282794l/48984964.jpg
1920,Sorry I Haven't Texted You Back by Alicia Cook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586702378l/50898135.jpg
1618,Romance or the End by Elaine Kahn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560229137l/45895148.jpg
1354,How to Fly by Barbara Kingsolver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587479023l/49867447.jpg
1166,Without by Meg  Johnson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588229375l/53299031.jpg
