Votes, Title, Cover_Image
70896,From Blood and Ash by Jennifer L. Armentrout,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588843906l/52861201._SY475_.jpg
60124,Beach Read by Emily Henry,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589881197l/52867387._SY475_.jpg
37342,In Five Years by Rebecca Serle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586399012l/50093704._SY475_.jpg
33502,Boyfriend Material by Alexis  Hall,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575987260l/50225678.jpg
26958,Take a Hint, Dani Brown by Talia Hibbert,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1592943641l/52090948._SY475_.jpg
24301,One to Watch by Kate Stayman-London,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584401917l/53103895.jpg
17210,The Switch by Beth O'Leary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585639107l/48842183.jpg
14666,You Had Me at Hola by Alexis Daria,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586533869l/52585101.jpg
7069,The Two Lives of Lydia Bird by Josie Silver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583446296l/46225061._SY475_.jpg
6005,A Rogue of One's Own by Evie Dunmore,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578931679l/49202118.jpg
5713,In a Holidaze by Christina Lauren,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1601590329l/50892287._SY475_.jpg
4913,Emerald Blaze by Ilona Andrews,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597017672l/50496840.jpg
3643,Sweet Temptation by Cora Reilly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583736804l/52226559._SY475_.jpg
2892,Hands Down by Mariana Zapata,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594433634l/54467737._SY475_.jpg
2139,You Deserve Each Other by Sarah Hogle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578144091l/49758584._SY475_.jpg
