Votes, Title, Cover_Image
45833,To Sleep in a Sea of Stars by Christopher Paolini,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583523112l/48829708.jpg
32693,Harrow the Ninth by Tamsyn Muir,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1602323622l/39325105._SY475_.jpg
22971,Network Effect by Martha Wells,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568667704l/52381770._SX318_SY475_.jpg
16786,A Beautifully Foolish Endeavor by Hank Green,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576697804l/49003616.jpg
16502,Axiom's End by Lindsay  Ellis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579072263l/51171377.jpg
14832,The Hidden Girl and Other Stories by Ken Liu,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565279404l/52163147._SX318_SY475_.jpg
11039,The New Wilderness by Diane  Cook,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597017220l/48836769.jpg
10652,The End of October by Lawrence Wright,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572992062l/52669505.jpg
4833,The Last Emperox by John Scalzi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585292438l/45046555._SY475_.jpg
3794,The Vanished Birds by Simon Jimenez,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562699959l/45422268._SY475_.jpg
3384,The Book of Koli by M.R. Carey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570049059l/51285749.jpg
2890,Hench by Natalie Zina Walschots,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594616305l/49867430.jpg
2038,Zoey Punches the Future in the Dick by David  Wong,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596429943l/49127471.jpg
1815,Age of Deception by T.A. White,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1594913183l/54554819._SY475_.jpg
1773,The First Sister by Linden A. Lewis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1584211465l/52378525.jpg
