Votes, Title, Cover_Image
35675,A Life on Our Planet by David Attenborough,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608723131l/53916142._SY475_.jpg
21152,How to Argue With a Racist by Adam Rutherford,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576438164l/50734400._SY475_.jpg
13101,Breath by James Nestor,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575339793l/48890486.jpg
10860,The End of Everything by Katie  Mack,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574199214l/52767659.jpg
10809,No Filter by Sarah Frier,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566404750l/50772888.jpg
8692,The Future We Choose by Christiana Figueres,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577771399l/52117860._SX318_SY475_.jpg
7961,Why We Swim by Bonnie Tsui,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585507220l/52905471._SX318_SY475_.jpg
7883,Vesper Flights by Helen Macdonald,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582053771l/48637750.jpg
3544,That Wild Country by Mark Kenyon,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1568726633l/43889825.jpg
3080,The Book of Eels by Patrik Svensson,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582073834l/51938590._SX318_SY475_.jpg
2960,The Next Great Migration by Sonia Shah,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573000433l/51079278.jpg
2667,Until the End of Time by Brian Greene,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578335799l/46114262._SX318_.jpg
933,Apocalypse Never by Michael Shellenberger,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585142428l/50173134.jpg
833,Owls of the Eastern Ice by Jonathan C. Slaght,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1569893852l/51542211._SX318_SY475_.jpg
789,Some Assembly Required by Neil Shubin,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581512190l/51199750._SY475_.jpg
