Title, Genre, Cover_Image
Anna Karenina,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Great Gatsby,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Great Expectations,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Pride & Prejudice,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
War & Peace,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lolita,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Adventures of Huck Finn,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Catcher in the Rye,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Nineteen Eighty-Four,Sci-Fi,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
To Kill a Mockingbird,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Don Quixote,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Madame Bovary,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
In Search of Lost Time,History,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Ulysses,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Moby Dick,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Lord of the Rings: The Fellowship of the Ring,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,Fantasy,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Harry Potter and the Sorcerer's Stone,Fantasy,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Count of Monte Cristo,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Middlemarch,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Sound and the Fury,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Catch-22,War,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Rikos ja rangaistus,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Brothers Karamazov,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Stand,Fantasy,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Mrs Dalloway,Romance,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Sun Also Rises,Drama,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
The Grapes of Wrath,History,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Of Mice and Men,Western,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
Lord of the Flies,Thriller,https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png
