user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
mHPfteCoVKUdzgbtr3D2hi,Accounting,Charles Horngren,Pearson Higher Education AU,9781442553477,English,8,4.3
THhUGTFLm7gLvEyc4Uh3Ma,Treasury Management,Steven M. Bragg,John Wiley & Sons,9780470591208,English,5,5.0
6DeVQcvvV9pJTiDQ5MXuxk,Inventory Best Practices: Edition 2,Steven M. Bragg,John Wiley & Sons,9781118025864,English,7,3.0
jp8eMrB9J9pR7e9PgcFRfT,The Controller's Function,Steven M. Bragg,John Wiley & Sons,9781118001431,English,6,0
nrRmCc7GcJCgmAmFQjcKSE,Implementing ISO/IEC 17025:2017| Second Edition,Bob Mehta,Quality Press,9780873899802,English,2,0
CwzadZ8MtHnFqwvgZd9hYy,Key Account Plans,Lynette Ryals,Routledge,9781136390654,English,4,0
39GT3XDHJrcHCnK5BsTiyr,Survey of Accounting,Paul D. Kimmel,Wiley Global Education,9781119306474,English,0,0
ZEVzp3fA3aJF4ChVG9wrU4,Cost Reduction Analysis,Steven M. Bragg,John Wiley & Sons,9780470622476,English,0,4.0
DDdgeoU4G5T7mgqS9vH2oy,Business Ratios and Formulas: A Comprehensive Guide| Edition 2,Steven M. Bragg,John Wiley & Sons,9781118044797,English,8,4.3
aHRBdU3LaKctr439yvdW6U,CIA Part 3 - Test Bank Questions - 2020,MUHAMMAD ZAIN,Zain Academy,Original pages,Business & Economics / Accounting / Managerial,8,4.0
ByCviVsaTbp5oxQ5qdVwrA,Ethics in Accounting: A Decision-Making Approach,Gordon Klein,Wiley Global Education,9781118939031,English,3,0
QgswSPgqqn9TfdLsHHoAFh,Fundamentals of Entrepreneurial Finance,Marco Da Rin,Oxford University Press,9780190941567,English,2,0
98oTkAuLSyuFWXtg9TaW3k,Intermediate Accounting| 16th Edition: Edition 16,Donald E. Kieso,Wiley Global Education,9781119175148,English,6,4.4
HXQfrvz9dBb5qGLRaZr9GJ,The Procurement and Supply Manager's Desk Reference: Edition 2,Fred Sollish,John Wiley & Sons,9781118238493,English,1,0
4bwVYrras5uDYQYoJp4aGy,Security Analysis and Business Valuation on Wall Street: A Comprehensive Guide to Today's Valuation Methods| Edition 2,Jeffrey C. Hooke,John Wiley & Sons,9780470608920,English,5,5.0
RFnibqfNB6Do9Zr2nFEatw,The New CFO Financial Leadership Manual,Steven M. Bragg,John Wiley & Sons,9780470918401,English,7,4.2
55xR96dTdS5SD5efLbkz8a,Valuation in Life Sciences: A Practical Guide| Edition 2,Boris Bogdan,Springer Science & Business Media,9783540782483,English,9,0
8umTpWjsV7KiJtMPJGCv9K,Managerial Accounting| 6th Edition: Edition 6,James Jiambalvo,Wiley Global Education,9781119158226,English,0,0
PtPEVGsBb53bCsey5w9mNB,The xVA Challenge: Counterparty Credit Risk| Funding| Collateral and Capital| Edition 3,Jon Gregory,John Wiley & Sons,9781119109426,English,9,0
QMCJr4ytVYXGRSyNpPiAxh,Accounting: Tools for Business Decision Making| 6th Edition: Edition 6,Paul D. Kimmel,Wiley Global Education,9781119255253,English,4,5.0
AeWAX4DCU7EWohT3YYeWiS,Methodological issues in accounting research: Second edition,Zahirul Hoque,Spiramus Press Ltd,9781910151471,English,1,0
5yQ342FYWbkJzZVBocTfL2,Economics and Cost Analysis for Operations and Project Managers,Dr. Mahmoud Al-Odeh,Rylan Books,9781607978657,English,2,0
BwVuVsVeVUzfqVsBBE42EZ,Financial Accounting Theory and Analysis: Text and Cases| 12th Edition: Text and Cases| Edition 12,Richard G. Schroeder,Wiley Global Education,9781119299349,English,9,0
5mePUZTH8Xftj7RCojqLxK,Trading Chaos,Justine Gregory-Williams,John Wiley & Sons,9780470586273,English,2,3.7
jxC2gczAAJgL4w9Qp8YR5d,Cash Flow Analysis and Forecasting,Timothy Jury,John Wiley & Sons,9781119968740,English,8,5.0
gFFss7hWTdcvvtoEq7e7iL,Fraud and Fraud Detection: A Data Analytics Approach,Sunder Gee,John Wiley & Sons,9781118779668,English,8,5.0
7vf2wqFGvfNHnEE3Z45tGA,Advanced Excel Reporting for Management Accountants,Neale Blackwood,John Wiley & Sons,9781118658192,English,5,4.0
