user_id, title, author, publisher, isbn, language, no_of_exchanges, rating
Z4gCnjTUahoz2qaZmk9GJt,Basics of the U.S. Health Care System: Edition 2,Nancy J. Niles,Jones & Bartlett Learning,9781284066043,English,3,2.3
PwS6wrs4jTJTRrENQ4ErfH,Financial Accounting Theory,Craig Deegan,McGraw-Hill Education Australia,9781743074626,English,7,4.7
JysYJh9MJsgB92MH86syxU,Delivering Health Care in America: A Systems Approach| Edition 6,Leiyu Shi,Jones & Bartlett Learning,9781284066067,English,7,1.5
ZNanmaD93chZqkq5JHzM2t,Fraud and Fraud Detection: A Data Analytics Approach,Sunder Gee,John Wiley & Sons,9781118779668,English,1,5.0
JGUfL4yHZzQhKSLPcMbc3e,Financial Institutions| Instruments and Markets| 8th edition,Christopher Viney,McGraw-Hill Education Australia,9781743764848,English,3,1.7
96GBUfNMdCkarJrvJG8fmp,The New Trading for a Living: Psychology| Discipline| Trading Tools and Systems| Risk Control| Trade Management,Alexander Elder,John Wiley & Sons,9781118963678,English,2,4.7
Dc6zbmSBKgqh3LMNNh8Qeh,CIA Part 3 - Test Bank Questions - 2020,MUHAMMAD ZAIN,Zain Academy,,English,3,4.0
dCUJfj5tVtq8hnUJuDSxbK,Advanced Accounting| 6th Edition: Edition 6,Debra C. Jeter,Wiley Global Education,9781119045946,English,0,1.0
RoASCF6HcpGgDEzPcJ33Qs,International Financial Management: Edition 3,Geert Bekaert,Cambridge University Press,9781108547154,English,6,0
eWspseuvdxut9ECG6ZW2Gq,Global Macro Trading,Greg Gliner,John Wiley & Sons,9781118417140,English,5,5.0
4NF22YeaWd5EVMpjqKUREM,Corporate Governance: Principles and Issues,Donald Nordberg,SAGE,9781473903371,English,5,4.0
5xjAZCcHcpNwNLKZsQfP7u,Accounting: An Introduction| 6/E,Peter Atrill,Pearson Higher Education AU,9781486009664,English,0,3.8
L8aeYhbg9oMfQFTLYUKKzt,A Trader's Guide to Financial Astrology,Larry Pasavento,John Wiley & Sons,9781118417027,English,3,4.2
FNePd9VEQbMiAudUo588BW,Financial Modeling| fourth edition,Simon Benninga,MIT Press,9780262321709,English,8,5.0
QMqkuPXvUe64Hd5Wp558me,The Handbook of Technical Analysis + Test Bank: The Practitioner's Comprehensive Guide to Technical Analysis,Mark Andrew Lim,John Wiley & Sons,9781118498927,English,6,5.0
SXensasprrNBuRqtxBciJM,Analysis of Financial Time Series: Edition 3,Ruey S. Tsay,John Wiley & Sons,9781118017098,English,0,5.0
JXSLJSJbLaXDe83syKdWoo,Intermediate Accounting| 16th Edition: Edition 16,Donald E. Kieso,Wiley Global Education,9781119175148,English,4,4.4
SrBRYgvEba4np8J4qSFgjs,Governmental and Nonprofit Financial Management,Charles K. Coe PhD,Berrett-Koehler Publishers,9781567263916,English,6,0
9AgyRorft5ZVw2GqWKExhx,Electricity Markets,Chris Harris,John Wiley & Sons,9781119995135,English,9,5.0
g5roownMeTZbJzhFJonpMx,Accounting for Derivatives: Advanced Hedging under IFRS 9| Edition 2,Juan Ramirez,John Wiley & Sons,9781118817964,English,3,0
5Jmb4vvemcaTDJvDZG4tvH,Harmonic Elliott Wave,Ian Copsey,John Wiley & Sons,9780470828731,English,1,5.0
X2PdbkTBHFH3LPnXDN8tXr,Commodities and Commodity Derivatives: Modeling and Pricing for Agriculturals| Metals and Energy,Helyette Geman,John Wiley & Sons,9780470687734,English,1,4.0
KSx2XdxZMdGXa34MqgARao,Financial Accounting: Tools for Business Decision Making| 8th Edition: Edition 8,Paul D. Kimmel,Wiley Global Education,9781118953808,English,0,3.0
UYyLtqQuhbJvatXJqaraio,Evidence-Based Technical Analysis,David Aronson,John Wiley & Sons,9781118160589,English,7,3.0
ZNhKVqoWFMRyZCk7MftFdp,Valuation: Methods and Models in Applied Corporate Finance,George Chacko,FT Press,9780132905275,English,6,0
3dRGuByWU9s2V6oeazJwCZ,Building Winning Algorithmic Trading Systems: A Trader's Journey From Data Mining to Monte Carlo Simulation to Live Trading,Kevin J. Davey,John Wiley & Sons,9781118778883,English,7,4.5
fXaCWRay6vYme8wYpeA7i7,Health Care USA: Edition 8,Harry A. Sultz,Jones & Bartlett Learning,9781284066012,English,2,5.0
nwqCX93dKPS4ZFoEEU54eL,Economics and Cost Analysis for Operations and Project Managers,Dr. Mahmoud Al-Odeh,Rylan Books,9781607978657,English,5,0
apBEJxvtRYvpzen2Qgruwi,Working Capital Management: Applications and Case Studies,James Sagner,John Wiley & Sons,9781118933848,English,2,0
KBpcDZyT4aU9SH4wDYSiPW,Mastering Private Equity Set,Claudia Zeisberger,John Wiley & Sons,9781119431169,English,8,5.0
PFR4EVZPqRXfoYpLYC2kDj,Financial Statement Analysis: A Practitioner's Guide| Edition 4,Martin S. Fridson,John Wiley & Sons,9781118064207,English,6,4.2
BkPBq4W8kDggYAMvNwu7Xo,Methodological issues in accounting research: Second edition,Zahirul Hoque,Spiramus Press Ltd,9781910151471,English,9,0
CJgwFZjoxpqhEjFwfsXnCR,Corporate and Project Finance Modeling: Theory and Practice,Edward Bodmer,John Wiley & Sons,9781118854457,English,4,4.5
Nf2QXnZyFeyWmYSJPQwCov,Understanding Bitcoin: Cryptography| Engineering and Economics,Pedro Franco,John Wiley & Sons,9781119019145,English,7,4.6
L9ntYTW34C3LBUiRo2rfP3,Open Economy Macroeconomics,Martín Uribe,Princeton University Press,9781400885305,English,8,0
QgPkB7PEmetsnfgwfZnVGw,Candlesticks| Fibonacci| and Chart Pattern Trading Tools,Robert Fischer,John Wiley & Sons,9780471473374,English,8,5.0
XK56aLPegoeDS5F7AsE947,Enterprise Risk Management: From Incentives to Controls| Edition 2,James Lam,John Wiley & Sons,9781118834435,English,3,0
fHPhFiyK3DRCxr4HK2LwWc,Astrology For Stock Market,Padam Singh,Attri Forecast Co.,,English,3,4.0
3XaEWYcrrghyUYTrnzCwUF,Interest Rate Models - Theory and Practice: With Smile| Inflation and Credit| Edition 2,Damiano Brigo,Springer Science & Business Media,9783540346043,English,3,3.0
RSCpccGCrjQUZjGrgRnR9L,Financial Forecasting| Analysis| and Modelling: A Framework for Long-Term Forecasting,Michael Samonas,John Wiley & Sons,9781118921098,English,3,0
QBcz3hxBHTED9bALCnZGR4,Mastering Private Equity: Transformation via Venture Capital| Minority Investments and Buyouts,Claudia Zeisberger,John Wiley & Sons,9781119327981,English,0,0
kdX3REuPDxAQsj8UQTrHvi,Funds: Private Equity| Hedge and All Core Structures,Matthew Hudson,John Wiley & Sons,9781118790380,English,5,0
jkfCNrT7EdbBr85fwAxvFz,Implementing Enterprise Risk Management: Case Studies and Best Practices,John Fraser,John Wiley & Sons,9781118746189,English,8,0
AGUQFXSUsa5doxjxUHhZ9E,The Art of Company Valuation and Financial Statement Analysis: A Value Investor's Guide with Real-life Case Studies,Nicolas Schmidlin,John Wiley & Sons,9781118843055,English,3,2.0
j9H4cNtDXYhvtCHjTFaTa2,Financial Management: Principles and Applications: Edition 6,J William Petty,Pearson Higher Education AU,9781442551626,English,5,4.0
iBQfb2g3ef4jC7jSvJ4WdF,Shared Services in Finance and Accounting,Tom Olavi Bangemann,Routledge,9781351900522,English,3,3.0
MizxCnK3RBHFC3kdMG9RTR,Advanced Swing Trading,John Crane,John Wiley & Sons,9780471481386,English,4,4.7
cUbsGk3jGUWKABcSWAuDDB,Cash Flow Analysis and Forecasting,Timothy Jury,John Wiley & Sons,9781119968740,English,5,5.0
nCAP4qZzHbV5g9spf3mp3z,Profiting from Market Trends: Simple Tools and Techniques for Mastering Trend Analysis,Tina Logan,John Wiley & Sons,9781118727003,English,1,4.0
c2aUkj2sNP3S76DRGZpK6G,Entertainment Industry Economics: A Guide for Financial Analysis| Edition 9,Harold L. Vogel,Cambridge University Press,9781316062074,English,5,0
bUUMFHZC5pzakQErR5fwwx,Processing| second edition: A Programming Handbook for Visual Designers and Artists,Casey Reas,MIT Press,9780262321860,English,6,5.0
U2q7wJJ5CBK2sLUCocHhcM,Permanent Make Up for Lips: for professional technician,Anna Savina,Anna Savina LLC,,English,4,4.3
LpRiBKwzZbV3yjuxRJxgGN,The Art of City Sketching: A Field Manual,Michael C. Abrams,Routledge,9781136665455,English,6,3.0
SxHUBZUaqwLp4cJoMjHm7G,Black Acting Methods: Critical Approaches,Sharrell Luckett,Routledge,9781317441212,English,0,0
kiBycBHUA4hYuqzPNq4dre,How to Cheat in 3ds Max 2015: Get Spectacular Results Fast,Michael McCarthy,CRC Press,9781317692492,English,8,3.8
8J6r2N4wGs3yHKF9GMdSAc,Art and Agency: An Anthropological Theory,Alfred Gell,Clarendon Press,9780191512155,English,0,0
bgayYHKpMDdNsQ4KNatBnP,PIB Summary 2019 Exams Exclusive Vol-1st,Dheeraj Sharma,DHEERAJ SHARMA,,English,2,5.0
A4aTEnkEJRz25cqJBjg8Yc,Photography: The Key Concepts,David Bate,Berg,9781847883803,English,6,5.0
j2paRTn42r2NQaWhV6AuxH,The Expert versus the Object: Judging Fakes and False Attributions in the Visual Arts,Ronald D. Spencer,Oxford University Press,9780195349030,English,0,3.0
FXGY8kPMUPyXpJgEZu7GWx,A Short History of the Ancient World,Nicholas K. Rauh,University of Toronto Press,9781442603875,English,1,0
CUAn8LL78aFjrowQVHcaFq,Collage and Architecture,Jennifer A.E. Shields,Routledge,9781134681617,English,0,0
mDeNXHHGoVBQyrCMvBhw5Z,The Complete Guide to Perspective Drawing: From One-Point to Six-Point,Craig Attebery,Routledge,9781315443546,English,5,0
AGQrr6aKc8qn99MGTk84Y7,Concrete Construction Manual,Friedbert Kind-Barkauskas,Walter de Gruyter,9783955531638,English,1,0
6U3eJP93zrrpGh66weaeuR,Strategic Management in the Arts,Lidia Varbanova,Routledge,9781136302442,English,6,4.0
iZQKGzG4t8tqy5kCkGZ9qS,Pedestrian Bridges: Ramps| Walkways| Structures,Andreas Keil,Walter de Gruyter,9783955531478,English,4,0
chnouyJt6UG66NqdWQw4Vm,Marketing for Cultural Organizations: New Strategies for Attracting Audiences - third edition,Bonita M. Kolb,Routledge,9781136239526,English,5,0
FmnctFnH8NZCaRTzNjRnxo,Art of the Yellow Springs,Wu Hung,Reaktion Books,9781861897183,English,7,5.0
Kvm5FsbUnxY7zi48vV4BAr,The Art Business,Iain Robertson,Routledge,9781134222421,English,6,0
XBNoz3nTe39L3Vbhxs3NqC,The World According to Snoopy Volume Two,Charles M. Schulz,Open Road Media,9781504050784,English,9,5.0
gM8nGVrkdyBjwdFCxTVG2j,A Companion to Museum Studies,Sharon Macdonald,John Wiley & Sons,9781444357943,English,1,4.0
m9DGt8k3g5TkQfiqAduJGr,A History of Greek Art,Mark D. Stansbury-O'Donnell,John Wiley & Sons,9781118839454,English,8,0
iQMYD67vMXhgeShYvG2HnZ,Egypt| Greece| and Rome: Civilizations of the Ancient Mediterranean| Edition 3,Charles Freeman,OUP Oxford,9780191509704,English,3,0
6xXivYk9fTGCF8RoLr7Zgu,A Story of Ruins: Presence and Absence in Chinese Art and Visual Culture,Wu Hung,Reaktion Books,9781861899767,English,8,0
FxPyFjQvzNgHzWCB8BsMxo,The Birth of the Museum: History| Theory| Politics,Tony Bennett,Routledge,9781136115240,English,0,5.0
msy3EMdvQKkv2Q6NC8zhRG,Gender| Sexuality and Museums: A Routledge Reader,Amy K. Levin,Routledge,9781136943638,English,1,0
EEEwBJJtgagLMEod8rVJ9X,3D Game Engine Design: A Practical Approach to Real-Time Computer Graphics| Edition 2,David Eberly,CRC Press,9781482267303,English,5,4.0
E84caZwrnvqnsV4T6qsQ5o,Motion Graphic Design: Applied History and Aesthetics| Edition 3,Jon Krasner,Taylor & Francis,9781136146619,English,0,2.0
LEChnrAM2UMFEYQVaQakrR,FORCE: Dynamic Life Drawing: 10th Anniversary Edition| Edition 3,Mike Mattesi,CRC Press,9781317419211,English,4,5.0
Sy5omyqWC7AVungdrFiQN8,The World According to Snoopy Volume One,Charles M. Schulz,Open Road Media,9781504047067,English,9,5.0
oCYQoGDX8xJb9DGRTFJkdp,The Complete Guide to Film and Digital Production: The People and The Process| Edition 3,Lorene M. Wales,Taylor & Francis,9781315294872,English,7,5.0
KUHZj8iVW3EePB2JeUSZ5u,American Film and Society Since 1945| 5th Edition: Edition 5,Leonard Quart,ABC-CLIO,9781440833229,English,7,0
TTpkbHzSA9RxuMPBWwsZuV,After Effects Expressions,Marcus Geduld,Taylor & Francis,9781136140532,English,9,4.5
3BJuMnhvTJGmAXaqbroFaS,The Past is the Present; It's the Future Too: The Temporal Turn in Contemporary Art,Christine Ross,Bloomsbury Publishing USA,9781441147745,English,9,0
e8vAMyZAKLJMwBC5iMPyZk,Maya Python for Games and Film: A Complete Reference for the Maya Python API,Adam Mechtley,CRC Press,9780123785794,English,1,0
hSKxzEEvoyid9zhqALQygC,Introduction to Cinematography: Learning Through Practice,Tania Hoser,Routledge,9781315305301,English,4,0
izQKiNVhwyf5hEgs5wJphb,47th Publication Design Annual: The Best Magazine Design: Photography| Illustration| Infographics & Digital,Society of Publication Designers,Rockport Publishers,9781610586139,English,9,5.0
AbxvVGQx29BoVv97Ldw2Ae,Analysing Popular Music: Image| Sound and Text,David Machin,SAGE,9781446203378,English,1,3.0
GZ3jkPkiRQ4bfPkv6b4AFs,Museum Gallery Interpretation and Material Culture,Juliette Fritsch,Routledge,9781135767952,English,3,5.0
cjc7tHdmsJqGho5a39A6a6,Exploring Art: A Global| Thematic Approach: Edition 5,Margaret Lazzari,Cengage Learning,9781305480544,English,9,4.7
btgbMy3iqrfrFrziZCsGUw,Wine Grapes: A Complete Guide to 1|368 Vine Varieties| Including Their Origins and Flavours,Jancis Robinson,Harper Collins,9780062325518,English,0,3.9
kQFpzS8JH8jxTAea83VBz8,Gardner's Art through the Ages: The Western Perspective| Volume II: Volume 2| Edition 15,Fred S. Kleiner,Cengage Learning,9781305854710,English,6,0
NJ5ySUQJL5rN2tanP8Ys3k,Artificial Intelligence for Games: Edition 2,Ian Millington,CRC Press,9780080885032,English,2,4.2
5CvD6YB739yPPTGPfbtTQq,Cosmopolitan Canvases: The Globalization of Markets for Contemporary Art,Olav Velthuis,OUP Oxford,9780191027543,English,1,0
NiLLmmCNEPYBrbnR9JLPan,Photography: A Critical Introduction: Edition 5,Liz Wells,Routledge,9781317539728,English,0,0
BUNNKiRUGzNHvu7iteY9gW,Game Physics Engine Development: How to Build a Robust Commercial-Grade Physics Engine for your Game| Edition 2,Ian Millington,CRC Press,9780123819772,English,6,4.0
4SxmPrJxh4mdert455ukXa,Design Basics: Edition 9,Stephen Pentak,Cengage Learning,9781305464933,English,4,0
